mother_pid,wav,child_pid,child_birth_y,child_age,child_gender,child_enroll,child_math,child_enroll2,child_eduy,child_wav,mother_birth_y,mother_age,mother_gender,mother_eth,mother_enroll2,mother_eduy,mother_birth_prov,mother_wav
360160106.0,2014,360160109.0,1999.0,15.0,0.0,1.0,2.0,,10.0,2014.0,1979.0,35.0,0.0,1.0,0.0,9.0,,2014.0
370115104.0,2014,370115107.0,2004.0,10.0,1.0,1.0,1.0,1.0,3.0,2014.0,1981.0,33.0,0.0,,0.0,9.0,,2014.0
110011101.0,2014,110011103.0,1999.0,15.0,0.0,1.0,4.0,1.0,8.0,2014.0,1973.0,41.0,0.0,,0.0,6.0,,2014.0
110020105.0,2014,110020107.0,2001.0,13.0,0.0,1.0,3.0,1.0,7.0,2014.0,1970.0,44.0,0.0,,0.0,15.0,,2014.0
110022101.0,2014,110022103.0,2001.0,13.0,0.0,1.0,2.0,1.0,5.0,2014.0,1978.0,36.0,0.0,,0.0,15.0,,2014.0
110041101.0,2014,110041103.0,2001.0,13.0,1.0,1.0,1.0,1.0,7.0,2014.0,1968.0,46.0,0.0,,,12.0,,2014.0
110047102.0,2014,110047103.0,2003.0,11.0,1.0,1.0,1.0,1.0,6.0,2014.0,1977.0,37.0,0.0,,0.0,12.0,,2014.0
110078104.0,2014,110078105.0,1999.0,15.0,1.0,1.0,2.0,1.0,9.0,2014.0,1974.0,40.0,0.0,,0.0,12.0,,2014.0
110079102.0,2014,110079103.0,2000.0,14.0,0.0,1.0,3.0,1.0,9.0,2014.0,1973.0,41.0,0.0,,0.0,12.0,,2014.0
110092104.0,2014,110092105.0,2002.0,12.0,1.0,1.0,1.0,1.0,6.0,2014.0,1963.0,51.0,0.0,,,12.0,,2014.0
110099102.0,2014,110099103.0,2004.0,10.0,1.0,1.0,1.0,,5.0,2014.0,1981.0,33.0,0.0,,0.0,9.0,,2014.0
110165101.0,2014,110165103.0,1999.0,15.0,0.0,1.0,1.0,1.0,9.0,2014.0,1972.0,42.0,0.0,,0.0,12.0,,2014.0
411216104.0,2014,411216105.0,2000.0,14.0,1.0,1.0,2.0,,8.0,2014.0,1975.0,39.0,0.0,,0.0,9.0,,2014.0
430209101.0,2014,430209103.0,2002.0,12.0,0.0,1.0,1.0,1.0,7.0,2014.0,1976.0,38.0,0.0,,0.0,9.0,,2014.0
430326104.0,2014,430326105.0,1999.0,15.0,0.0,1.0,4.0,,8.0,2014.0,1975.0,39.0,0.0,,0.0,9.0,,2014.0
430442104.0,2014,430442105.0,2004.0,10.0,1.0,1.0,3.0,1.0,4.0,2014.0,1980.0,34.0,0.0,,0.0,9.0,,2014.0
430509104.0,2014,430509105.0,1999.0,15.0,0.0,1.0,1.0,1.0,9.0,2014.0,1976.0,38.0,0.0,,0.0,12.0,,2014.0
