mother_pid,wav,child_pid,child_birth_y,child_gender,child_age,child_enroll,child_math,child_eduy,child_wav,mother_birth_y,mother_gender,mother_age,mother_eth,mother_birth_prov,mother_enroll2,mother_eduy,mother_wav
130815105.0,2018,130815104.0,2004.0,1.0,14.0,1.0,2.0,8.0,2018.0,1981.0,0.0,37.0,,,0.0,12.0,2018.0
140676103.0,2018,140676108.0,2008.0,1.0,10.0,1.0,1.0,4.0,2018.0,1989.0,0.0,29.0,,,0.0,6.0,2018.0
140668103.0,2018,140668104.0,2008.0,1.0,10.0,1.0,1.0,4.0,2018.0,1985.0,0.0,33.0,,,0.0,9.0,2018.0
210966105.0,2018,210966103.0,2006.0,1.0,12.0,1.0,2.0,6.0,2018.0,,,,,,,,
312144101.0,2018,312144107.0,2005.0,1.0,13.0,1.0,2.0,7.0,2018.0,,0.0,36.0,,,0.0,15.0,2018.0
107463551.0,2018,350103107.0,2006.0,1.0,12.0,1.0,1.0,5.0,2018.0,1987.0,0.0,31.0,,,0.0,9.0,2018.0
340342104.0,2018,340342105.0,2007.0,1.0,11.0,1.0,1.0,4.0,2018.0,1986.0,0.0,32.0,,,0.0,9.0,2018.0
360124104.0,2018,360124105.0,2008.0,1.0,10.0,1.0,1.0,4.0,2018.0,,,,,,,,
370115104.0,2018,370115107.0,2004.0,1.0,14.0,1.0,1.0,7.0,2018.0,1981.0,0.0,37.0,,,0.0,9.0,2018.0
410142104.0,2018,410142105.0,2006.0,1.0,12.0,1.0,1.0,6.0,2018.0,1978.0,0.0,40.0,,,0.0,12.0,2018.0
110026101.0,2018,110026103.0,2005.0,1.0,13.0,1.0,1.0,6.0,2018.0,1977.0,0.0,41.0,,,0.0,15.0,2018.0
110047102.0,2018,110047103.0,2003.0,1.0,15.0,1.0,1.0,9.0,2018.0,1977.0,0.0,41.0,,,0.0,12.0,2018.0
411029104.0,2018,411029105.0,2006.0,1.0,12.0,1.0,2.0,6.0,2018.0,1984.0,0.0,34.0,,,0.0,9.0,2018.0
411588105.0,2018,411588106.0,2007.0,0.0,11.0,1.0,1.0,5.0,2018.0,,0.0,34.0,,,0.0,12.0,2018.0
411782104.0,2018,411782105.0,2008.0,0.0,10.0,1.0,2.0,5.0,2018.0,1981.0,0.0,37.0,,,0.0,12.0,2018.0
430442104.0,2018,430442105.0,2004.0,1.0,14.0,0.0,4.0,8.0,2018.0,,,,,,,,
430465104.0,2018,430465108.0,2007.0,0.0,11.0,1.0,2.0,5.0,2018.0,1984.0,0.0,34.0,,,0.0,12.0,2018.0
430712106.0,2018,430712108.0,2007.0,1.0,11.0,1.0,1.0,6.0,2018.0,,0.0,38.0,,,0.0,16.0,2018.0
441893106.0,2018,441893110.0,2005.0,0.0,13.0,1.0,2.0,7.0,2018.0,,0.0,39.0,,,0.0,9.0,2018.0
370142104.0,2018,370142105.0,2007.0,0.0,11.0,0.0,2.0,5.0,2018.0,1984.0,0.0,34.0,,,0.0,8.0,2018.0
621273103.0,2018,621273104.0,2008.0,1.0,10.0,1.0,1.0,5.0,2018.0,,0.0,34.0,,,0.0,9.0,2018.0
621333431.0,2018,621333104.0,2007.0,1.0,11.0,1.0,3.0,5.0,2018.0,1977.0,0.0,41.0,,,0.0,9.0,2018.0
620341105.0,2018,620341106.0,2007.0,1.0,11.0,1.0,2.0,4.0,2018.0,,0.0,33.0,1.0,,0.0,6.0,2018.0
230628104.0,2018,230628105.0,2003.0,1.0,15.0,1.0,1.0,9.0,2018.0,1981.0,0.0,37.0,,,0.0,11.0,2018.0
120001101.0,2018,120001103.0,2004.0,0.0,14.0,1.0,3.0,7.0,2018.0,1979.0,0.0,39.0,,,0.0,12.0,2018.0
120007102.0,2018,120007103.0,2006.0,0.0,12.0,1.0,1.0,6.0,2018.0,,,,,,,,
120012102.0,2018,120012103.0,2006.0,0.0,12.0,1.0,1.0,7.0,2018.0,1981.0,0.0,37.0,,,0.0,16.0,2018.0
120018101.0,2018,120018102.0,2003.0,0.0,15.0,1.0,1.0,9.0,2018.0,1980.0,0.0,38.0,,,0.0,16.0,2018.0
120029101.0,2018,120029103.0,2008.0,1.0,10.0,1.0,1.0,3.0,2018.0,1983.0,0.0,35.0,,,0.0,12.0,2018.0
120032101.0,2018,120032103.0,2004.0,0.0,14.0,0.0,2.0,9.0,2018.0,1981.0,0.0,37.0,,,0.0,12.0,2018.0
120063102.0,2018,120063103.0,2004.0,1.0,14.0,1.0,3.0,8.0,2018.0,1978.0,0.0,40.0,,,0.0,16.0,2018.0
