mother_pid,wav,child_pid,child_birth_y,child_gender,child_enroll,child_age,child_math,child_eduy,child_wav,mother_birth_y,mother_gender,mother_age,mother_eth,mother_birth_prov,mother_enroll2,mother_eduy,mother_wav
140676103.0,2020,140676108.0,2008.0,1.0,1.0,12.0,2.0,6.0,2020.0,1989.0,0.0,31.0,,,0.0,6.0,2020.0
140668103.0,2020,140668104.0,2008.0,1.0,1.0,12.0,1.0,6.0,2020.0,1985.0,0.0,35.0,,,0.0,9.0,2020.0
312144101.0,2020,312144107.0,2005.0,1.0,1.0,15.0,2.0,9.0,2020.0,1982.0,0.0,38.0,,,0.0,15.0,2020.0
410142104.0,2020,410142105.0,2006.0,1.0,1.0,14.0,1.0,8.0,2020.0,1978.0,0.0,42.0,,,0.0,12.0,2020.0
410865104.0,2020,410865106.0,2008.0,1.0,1.0,12.0,1.0,6.0,2020.0,1988.0,0.0,32.0,,,0.0,9.0,2020.0
110026101.0,2020,110026103.0,2005.0,1.0,1.0,15.0,1.0,8.0,2020.0,1977.0,0.0,43.0,,,0.0,15.0,2020.0
411542104.0,2020,411542105.0,2008.0,0.0,0.0,12.0,4.0,6.0,2020.0,1978.0,0.0,42.0,,,0.0,6.0,2020.0
411588105.0,2020,411588106.0,2007.0,0.0,1.0,13.0,1.0,6.0,2020.0,1984.0,0.0,36.0,,,0.0,12.0,2020.0
411744104.0,2020,411744105.0,2007.0,1.0,1.0,13.0,3.0,7.0,2020.0,,,,,,,,
411782104.0,2020,411782105.0,,0.0,1.0,12.0,1.0,6.0,2020.0,1981.0,0.0,39.0,,,0.0,12.0,2020.0
450246106.0,2020,450246108.0,2009.0,1.0,1.0,11.0,3.0,4.0,2020.0,1985.0,0.0,35.0,,,0.0,9.0,2020.0
441893106.0,2020,441893108.0,2006.0,1.0,1.0,14.0,2.0,7.0,2020.0,,,,,,,,
610084104.0,2020,114614552.0,2010.0,1.0,1.0,10.0,2.0,4.0,2020.0,1987.0,0.0,33.0,,,0.0,12.0,2020.0
621273103.0,2020,621273104.0,2008.0,0.0,1.0,12.0,2.0,6.0,2020.0,,,,,,,,
117661501.0,2020,430496105.0,2005.0,1.0,1.0,15.0,2.0,8.0,2020.0,1983.0,0.0,37.0,1.0,,0.0,12.0,2020.0
120007102.0,2020,120007103.0,2006.0,0.0,1.0,14.0,1.0,8.0,2020.0,,,,,,,,
120012102.0,2020,120012103.0,2006.0,0.0,1.0,14.0,2.0,9.0,2020.0,,,,,,,,
120029101.0,2020,120029103.0,2008.0,1.0,1.0,12.0,1.0,6.0,2020.0,,,,,,,,
120038102.0,2020,120038103.0,,1.0,1.0,13.0,1.0,6.0,2020.0,1980.0,0.0,40.0,,,0.0,15.0,2020.0
120039101.0,2020,120039103.0,2009.0,0.0,1.0,11.0,1.0,5.0,2020.0,1983.0,0.0,37.0,,,0.0,15.0,2020.0
120072102.0,2020,120072104.0,2009.0,1.0,1.0,11.0,3.0,6.0,2020.0,1979.0,0.0,41.0,,,0.0,12.0,2020.0
120082101.0,2020,120082106.0,2008.0,1.0,1.0,12.0,1.0,6.0,2020.0,1982.0,0.0,38.0,,,0.0,9.0,2020.0
120100104.0,2020,120100401.0,2010.0,0.0,1.0,10.0,3.0,3.0,2020.0,1990.0,0.0,30.0,,,0.0,15.0,2020.0
120108103.0,2020,120108104.0,2009.0,0.0,1.0,11.0,2.0,5.0,2020.0,1977.0,0.0,43.0,,,0.0,15.0,2020.0
340314103.0,2020,340314431.0,2010.0,1.0,0.0,10.0,3.0,3.0,2020.0,1987.0,0.0,33.0,,,0.0,12.0,2020.0
370258104.0,2020,370258105.0,2007.0,0.0,0.0,13.0,2.0,8.0,2020.0,1980.0,0.0,40.0,,,0.0,9.0,2020.0
340318104.0,2020,340318105.0,2007.0,1.0,1.0,13.0,3.0,7.0,2020.0,1983.0,0.0,37.0,,,0.0,9.0,2020.0
127689501.0,2020,127689502.0,2008.0,1.0,1.0,12.0,2.0,5.0,2020.0,1989.0,0.0,31.0,,,0.0,9.0,2020.0
441845104.0,2020,441845107.0,,0.0,1.0,14.0,1.0,7.0,2020.0,,,,,,,,
441845106.0,2020,441845108.0,,0.0,1.0,12.0,1.0,6.0,2020.0,,,,,,,,
441998104.0,2020,441998108.0,2006.0,0.0,1.0,14.0,2.0,8.0,2020.0,1981.0,0.0,39.0,,,0.0,,2020.0
130019104.0,2020,130019401.0,2006.0,0.0,1.0,14.0,1.0,9.0,2020.0,1964.0,0.0,56.0,,,,0.0,2020.0
130020104.0,2020,130020106.0,2006.0,1.0,1.0,14.0,3.0,7.0,2020.0,1974.0,0.0,46.0,,,,0.0,2020.0
