mother_pid,wav,child_pid,child_wav,child_age,child_gender,child_enroll,mother_wav,mother_edu,mother_birthy,mother_pa401ccode,mother_birth_prov
130815105.0,2018,130815104.0,2018.0,14.0,1.0,1.0,2018.0,5.0,1981.0,,
130815105.0,2018,130815104.0,2018.0,14.0,1.0,1.0,2018.0,5.0,1981.0,,
140676103.0,2018,140676108.0,2018.0,10.0,1.0,1.0,2018.0,3.0,1989.0,,
140676103.0,2018,140676108.0,2018.0,10.0,1.0,1.0,2018.0,3.0,1989.0,,
140668103.0,2018,140668104.0,2018.0,10.0,1.0,1.0,2018.0,4.0,1985.0,,
140668103.0,2018,140668104.0,2018.0,10.0,1.0,1.0,2018.0,4.0,1985.0,,
210966105.0,2018,210966103.0,2018.0,12.0,1.0,1.0,,,,,
311299104.0,2018,311299105.0,2018.0,18.0,0.0,1.0,2018.0,4.0,1978.0,,
312144101.0,2018,312144107.0,2018.0,13.0,1.0,1.0,2018.0,6.0,,,
312144101.0,2018,312144107.0,2018.0,13.0,1.0,1.0,2018.0,6.0,,,
107435501.0,2018,340123103.0,2018.0,17.0,0.0,1.0,2018.0,4.0,,,
107463551.0,2018,350103107.0,2018.0,12.0,1.0,1.0,2018.0,4.0,1987.0,,
107463551.0,2018,350103107.0,2018.0,12.0,1.0,1.0,2018.0,4.0,1987.0,,
340342104.0,2018,340342105.0,2018.0,11.0,1.0,1.0,2018.0,4.0,1986.0,,
340342104.0,2018,340342105.0,2018.0,11.0,1.0,1.0,2018.0,4.0,1986.0,,
360124104.0,2018,360124105.0,2018.0,10.0,1.0,1.0,,,,,
360160106.0,2018,360160109.0,2018.0,19.0,0.0,1.0,2018.0,4.0,,,
370115104.0,2018,370115107.0,2018.0,14.0,1.0,1.0,2018.0,4.0,1981.0,,
370115104.0,2018,370115107.0,2018.0,14.0,1.0,1.0,2018.0,4.0,1981.0,,
410142104.0,2018,410142105.0,2018.0,12.0,1.0,1.0,2018.0,5.0,1978.0,,
410142104.0,2018,410142105.0,2018.0,12.0,1.0,0.0,2018.0,5.0,1978.0,,
410735105.0,2018,410735107.0,2018.0,19.0,0.0,1.0,2018.0,3.0,1976.0,,
110026101.0,2018,110026103.0,2018.0,13.0,1.0,1.0,2018.0,6.0,1977.0,,
110026101.0,2018,110026103.0,2018.0,13.0,1.0,1.0,2018.0,6.0,1977.0,,
110041101.0,2018,110041103.0,2018.0,17.0,1.0,1.0,2018.0,,1968.0,,
110047102.0,2018,110047103.0,2018.0,15.0,1.0,1.0,2018.0,5.0,1977.0,,
110047102.0,2018,110047103.0,2018.0,15.0,1.0,1.0,2018.0,5.0,1977.0,,
110078104.0,2018,110078105.0,2018.0,19.0,1.0,1.0,2018.0,6.0,1974.0,,
110092104.0,2018,110092105.0,2018.0,16.0,1.0,1.0,2018.0,,1963.0,,
110165101.0,2018,110165103.0,2018.0,19.0,0.0,1.0,2018.0,,1972.0,,
411029104.0,2018,411029105.0,2018.0,12.0,1.0,1.0,2018.0,4.0,1984.0,,
411029104.0,2018,411029105.0,2018.0,12.0,1.0,1.0,2018.0,4.0,1984.0,,
411216104.0,2018,411216105.0,2018.0,18.0,1.0,1.0,2018.0,4.0,,,
411542104.0,2018,411542105.0,2018.0,10.0,0.0,1.0,,,,,
411588105.0,2018,411588106.0,2018.0,11.0,0.0,1.0,2018.0,5.0,,,
411588105.0,2018,411588106.0,2018.0,11.0,0.0,1.0,2018.0,5.0,,,
411782104.0,2018,411782105.0,2018.0,10.0,0.0,1.0,2018.0,5.0,1981.0,,
411782104.0,2018,411782105.0,2018.0,10.0,0.0,1.0,2018.0,5.0,1981.0,,
430209101.0,2018,430209103.0,2018.0,16.0,0.0,1.0,2018.0,5.0,1976.0,,
430442104.0,2018,430442105.0,2018.0,14.0,1.0,0.0,,,,,
430442104.0,2018,430442105.0,2018.0,14.0,1.0,1.0,,,,,
430465104.0,2018,430465108.0,2018.0,11.0,0.0,1.0,2018.0,5.0,1984.0,,
430465104.0,2018,430465108.0,2018.0,11.0,0.0,1.0,2018.0,5.0,1984.0,,
