"var","label","labels"
"pid","个人ID","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"fid20","2020年家庭样本编码","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"code","家庭户内3位码","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"provcd20","2020年省国标码","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"countyid20","区县顺序码","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"urban20","基于国家统计局资料的城乡分类","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:乡村, 1:城镇"
"fid10","CFPS2010家户号","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"fid12","CFPS2012家户号","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"fid14","CFPS2014家户号","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"fid16","CFPS2016家户号","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"fid18","CFPS2018家户号","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"fidbaseline","基线家庭编码","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"psu","基线源头家户号对应的PSU","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"subsample","基线源头家户号是否在全国再抽样样本中","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"subpopulation","基线源头家户号对应的抽样子总体","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:上海市子总体, 2:辽宁省子总体, 3:河南省子总体, 4:甘肃省子总体, 5:广东省子总体, 6:其它省市子总体"
"tb6_a20_p","个人是否居住在家","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"proxytype","代答样本",":"
"interrupt","中断样本","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"selfrpt","有无自答问卷","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"proxyrpt","有无代答问卷","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"proxy_iwmode","代答问卷模式","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:面访, 2:电访"
"self_iwmode","自答问卷模式","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 1:面访, 2:电访"
"iinterv","加载变量：个人自答长卷完访情况（1=完访，缺失代表从未接受访问或初访）","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:2014年初访, 1:完访, 5:未完访"
"iintervy","加载变量：最近一次调查个人自答长卷完访年","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"gene","加载变量：是否属于基因成员","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:否, 1:是, 79:情况不适用"
"ibirthy","加载变量：出生年份","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道"
"gender","加载变量：受访者性别","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:女, 1:男"
"minzu","加载变量：民族数据是否有数据","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:没有数据, 1:有, 5:没有, 79:情况不适用"
"birthw","加载变量：出生时体重是否有数据","-10:无法判断, -9:缺失, -8:不适用, -2:拒绝回答, -1:不知道, 0:没有数据, 1:有, 5:没有, 79:情况不适用"
